,DATETIME,AC_REG,FLIGHT_NO,AIR_GROUND,AIRSPEED_CMP,ALTITUDE,FLAPEXT_1,FLAPEXT_2,FLAPEXT_3,FLAPEXT_4,FLAPHANDLPOS,FLAPTRANS_1,FLAPTRANS_2,FLAPTRANS_3,FLAPTRANS_4,TE_FLAPPSE_L,TE_FLAPPSE_L_SYNCRHO,TE_FLAPPSE_R,TE_FLAPPSE_R_SYNCHRO,TE_FLAPSKW_1,TE_FLAPSKW_2,TE_FLAPSKW_3,TE_FLAPSKW_4,TE_FLAPSKW_5,TE_FLAPSKW_6,TE_FLAPSKW_7,TE_FLAPSKW_8,TE_FLPSK1TO8,TE_FLPSK2TO7,TE_FLPSK3TO6,TE_FLPSK4TO5,FLAPTRANS_ALL,FLAPTRANS_IND,FLAPTRANS_DISC
76,2020-09-23 03:23:28,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
77,2020-09-23 03:23:29,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
78,2020-09-23 03:23:30,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
79,2020-09-23 03:23:31,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
80,2020-09-23 03:23:32,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
81,2020-09-23 03:23:33,PK-GFD,GIA448,ground,45.0,90,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
82,2020-09-23 03:23:34,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
83,2020-09-23 03:23:35,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
84,2020-09-23 03:23:36,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,0.0,False,False,False,False,-0.0,-1.1,0.0,0.4,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
85,2020-09-23 03:23:37,PK-GFD,GIA448,ground,45.0,91,False,False,False,False,1.6,False,False,False,False,-0.0,-1.1,0.1,2.1,-55.9,-21.1,3.9,-21.1,-19.3,7.7,-18.6,-55.2,normal,normal,normal,normal,False,False,False
